[2026-01-01 23:58:35.475] [info]  Platform: win32 x64
[2026-01-01 23:58:35.477] [info]  User data path: C:\Users\Pc\AppData\Roaming\event-four-you-siae-lettore
[2026-01-01 23:58:35.478] [info]  ============================================================
[2026-01-01 23:58:35.582] [info]  App ready
[2026-01-01 23:58:35.584] [info]  Relay config loaded - Server: production (wss://manage.eventfouryou.com)
[2026-01-01 23:58:35.586] [info]  Creating main window...
[2026-01-01 23:58:35.654] [info]  --- Directory Structure ---
[2026-01-01 23:58:35.656] [info]  Contents of C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources:
[2026-01-01 23:58:35.657] [info]    [DIR] app 
[2026-01-01 23:58:35.657] [info]    [FILE] app-update.yml (161 bytes)
[2026-01-01 23:58:35.658] [info]    [FILE] elevate.exe (107520 bytes)
[2026-01-01 23:58:35.659] [info]    [DIR] SiaeBridge 
[2026-01-01 23:58:35.660] [info]  Contents of C:\Users\Pc\AppData\Local\Programs\Event Four You SIAE Lettore\resources\SiaeBridge:
[2026-01-01 23:58:35.661] [info]    [FILE] clretwrc.dll (311048 bytes)
[2026-01-01 23:58:35.662] [info]    [FILE] clrgc.dll (431368 bytes)
[2026-01-01 23:58:35.663] [info]    [FILE] clrjit.dll (1526024 bytes)
[2026-01-01 23:58:35.664] [info]    [FILE] coreclr.dll (4093192 bytes)
[2026-01-01 23:58:35.665] [info]    [FILE] createdump.exe (59752 bytes)
[2026-01-01 23:58:35.666] [info]    [FILE] hostfxr.dll (300808 bytes)
[2026-01-01 23:58:35.666] [info]    [FILE] hostpolicy.dll (337672 bytes)
[2026-01-01 23:58:35.667] [info]    [FILE] libSIAE.dll (98304 bytes)
[2026-01-01 23:58:35.668] [info]    [FILE] libSIAEp7.dll (143360 bytes)
[2026-01-01 23:58:35.668] [info]    [FILE] Microsoft.CSharp.dll (940336 bytes)
[2026-01-01 23:58:35.669] [info]    [FILE] Microsoft.DiaSymReader.Native.x86.dll (2146344 bytes)
[2026-01-01 23:58:35.670] [info]    [FILE] Microsoft.VisualBasic.Core.dll (1177864 bytes)
[2026-01-01 23:58:35.672] [info]    [FILE] Microsoft.VisualBasic.dll (17672 bytes)
[2026-01-01 23:58:35.673] [info]    [FILE] Microsoft.Win32.Primitives.dll (15672 bytes)
[2026-01-01 23:58:35.674] [info]    [FILE] Microsoft.Win32.Registry.dll (104720 bytes)
[2026-01-01 23:58:35.675] [info]    [FILE] mscordaccore.dll (1266520 bytes)
[2026-01-01 23:58:35.675] [info]    [FILE] mscordaccore_x86_x86_8.0.2225.52707.dll (1266520 bytes)
[2026-01-01 23:58:35.676] [info]    [FILE] mscordbi.dll (1181016 bytes)
[2026-01-01 23:58:35.677] [info]    [FILE] mscorlib.dll (59704 bytes)
[2026-01-01 23:58:35.678] [info]    [FILE] mscorrc.dll (137008 bytes)
[2026-01-01 23:58:35.679] [info]    [FILE] msquic.dll (618056 bytes)
[2026-01-01 23:58:35.679] [info]    [FILE] netstandard.dll (101176 bytes)
[2026-01-01 23:58:35.680] [info]    [FILE] Newtonsoft.Json.dll (711952 bytes)
[2026-01-01 23:58:35.681] [info]    [FILE] SiaeBridge.deps.json (28335 bytes)
[2026-01-01 23:58:35.681] [info]    [FILE] SiaeBridge.dll (87552 bytes)
[2026-01-01 23:58:35.682] [info]    [FILE] SiaeBridge.exe (120832 bytes)
[2026-01-01 23:58:35.683] [info]    [FILE] SiaeBridge.pdb (20812 bytes)
[2026-01-01 23:58:35.684] [info]    [FILE] SiaeBridge.runtimeconfig.json (429 bytes)
[2026-01-01 23:58:35.684] [info]    [FILE] System.AppContext.dll (15664 bytes)
[2026-01-01 23:58:35.685] [info]    [FILE] System.Buffers.dll (15664 bytes)
[2026-01-01 23:58:35.686] [info]    [FILE] System.Collections.Concurrent.dll (252176 bytes)
[2026-01-01 23:58:35.687] [info]    [FILE] System.Collections.dll (239888 bytes)
[2026-01-01 23:58:35.688] [info]    [FILE] System.Collections.Immutable.dll (751880 bytes)
[2026-01-01 23:58:35.689] [info]    [FILE] System.Collections.NonGeneric.dll (92464 bytes)
[2026-01-01 23:58:35.690] [info]    [FILE] System.Collections.Specialized.dll (92424 bytes)
[2026-01-01 23:58:35.691] [info]    [FILE] System.ComponentModel.Annotations.dll (186632 bytes)
[2026-01-01 23:58:35.692] [info]    [FILE] System.ComponentModel.DataAnnotations.dll (17200 bytes)
[2026-01-01 23:58:35.692] [info]    [FILE] System.ComponentModel.dll (30984 bytes)
[2026-01-01 23:58:35.693] [info]    [FILE] System.ComponentModel.EventBasedAsync.dll (47376 bytes)
[2026-01-01 23:58:35.694] [info]    [FILE] System.ComponentModel.Primitives.dll (76040 bytes)
[2026-01-01 23:58:35.694] [info]    [FILE] System.ComponentModel.TypeConverter.dll (686344 bytes)
[2026-01-01 23:58:35.695] [info]    [FILE] System.Configuration.dll (19720 bytes)
[2026-01-01 23:58:35.696] [info]    [FILE] System.Console.dll (157968 bytes)
[2026-01-01 23:58:35.696] [info]    [FILE] System.Core.dll (23816 bytes)
[2026-01-01 23:58:35.697] [info]    [FILE] System.Data.Common.dll (2648368 bytes)
[2026-01-01 23:58:35.698] [info]    [FILE] System.Data.DataSetExtensions.dll (16136 bytes)
[2026-01-01 23:58:35.698] [info]    [FILE] System.Data.dll (25352 bytes)
[2026-01-01 23:58:35.699] [info]    [FILE] System.Diagnostics.Contracts.dll (16648 bytes)
[2026-01-01 23:58:35.700] [info]    [FILE] System.Diagnostics.Debug.dll (16136 bytes)
[2026-01-01 23:58:35.700] [info]    [FILE] System.Diagnostics.DiagnosticSource.dll (383240 bytes)
[2026-01-01 23:58:35.701] [info]    [FILE] System.Diagnostics.FileVersionInfo.dll (47376 bytes)
[2026-01-01 23:58:35.702] [info]    [FILE] System.Diagnostics.Process.dll (297232 bytes)
[2026-01-01 23:58:35.703] [info]    [FILE] System.Diagnostics.StackTrace.dll (43272 bytes)
[2026-01-01 23:58:35.704] [info]    [FILE] System.Diagnostics.TextWriterTraceListener.dll (63752 bytes)
[2026-01-01 23:58:35.705] [info]    [FILE] System.Diagnostics.Tools.dll (15624 bytes)
[2026-01-01 23:58:35.706] [info]    [FILE] System.Diagnostics.TraceSource.dll (129328 bytes)
[2026-01-01 23:58:35.706] [info]    [FILE] System.Diagnostics.Tracing.dll (16648 bytes)
[2026-01-01 23:58:35.707] [info]    [FILE] System.dll (50440 bytes)
[2026-01-01 23:58:35.708] [info]    [FILE] System.Drawing.dll (20744 bytes)
[2026-01-01 23:58:35.708] [info]    [FILE] System.Drawing.Primitives.dll (129336 bytes)
[2026-01-01 23:58:35.709] [info]    [FILE] System.Dynamic.Runtime.dll (16696 bytes)
[2026-01-01 23:58:35.710] [info]    [FILE] System.Formats.Asn1.dll (223496 bytes)
[2026-01-01 23:58:35.710] [info]    [FILE] System.Formats.Tar.dll (252168 bytes)
[2026-01-01 23:58:35.711] [info]    [FILE] System.Globalization.Calendars.dll (16184 bytes)
[2026-01-01 23:58:35.711] [info]    [FILE] System.Globalization.dll (16144 bytes)
[2026-01-01 23:58:35.712] [info]    [FILE] System.Globalization.Extensions.dll (15624 bytes)
[2026-01-01 23:58:35.713] [info]    [FILE] System.IO.Compression.Brotli.dll (71944 bytes)
[2026-01-01 23:58:35.713] [info]    [FILE] System.IO.Compression.dll (244016 bytes)
[2026-01-01 23:58:35.714] [info]    [FILE] System.IO.Compression.FileSystem.dll (15624 bytes)
[2026-01-01 23:58:35.715] [info]    [FILE] System.IO.Compression.Native.dll (775984 bytes)
[2026-01-01 23:58:35.715] [info]    [FILE] System.IO.Compression.ZipFile.dll (51464 bytes)
[2026-01-01 23:58:35.716] [info]    [FILE] System.IO.dll (16184 bytes)
[2026-01-01 23:58:35.716] [info]    [FILE] System.IO.FileSystem.AccessControl.dll (96568 bytes)
[2026-01-01 23:58:35.717] [info]    [FILE] System.IO.FileSystem.dll (16136 bytes)
[2026-01-01 23:58:35.718] [info]    [FILE] System.IO.FileSystem.DriveInfo.dll (51464 bytes)
[2026-01-01 23:58:35.719] [info]    [FILE] System.IO.FileSystem.Primitives.dll (15624 bytes)
[2026-01-01 23:58:35.719] [info]    [FILE] System.IO.FileSystem.Watcher.dll (76040 bytes)
[2026-01-01 23:58:35.720] [info]    [FILE] System.IO.IsolatedStorage.dll (84232 bytes)
[2026-01-01 23:58:35.721] [info]    [FILE] System.IO.MemoryMappedFiles.dll (76048 bytes)
[2026-01-01 23:58:35.722] [info]    [FILE] System.IO.Pipes.AccessControl.dll (16648 bytes)
[2026-01-01 23:58:35.723] [info]    [FILE] System.IO.Pipes.dll (153864 bytes)
[2026-01-01 23:58:35.724] [info]    [FILE] System.IO.UnmanagedMemoryStream.dll (15664 bytes)
[2026-01-01 23:58:35.724] [info]    [FILE] System.Linq.dll (489784 bytes)
[2026-01-01 23:58:35.725] [info]    [FILE] System.Linq.Expressions.dll (3389744 bytes)
[2026-01-01 23:58:35.726] [info]    [FILE] System.Linq.Parallel.dll (735496 bytes)
[2026-01-01 23:58:35.726] [info]    [FILE] System.Linq.Queryable.dll (166152 bytes)
[2026-01-01 23:58:35.726] [info]    [FILE] System.Memory.dll (145680 bytes)
[2026-01-01 23:58:35.727] [info]    [FILE] System.Net.dll (17672 bytes)
[2026-01-01 23:58:35.727] [info]    [FILE] System.Net.Http.dll (1575224 bytes)
[2026-01-01 23:58:35.728] [info]    [FILE] System.Net.Http.Json.dll (112904 bytes)
[2026-01-01 23:58:35.728] [info]    [FILE] System.Net.HttpListener.dll (493840 bytes)
[2026-01-01 23:58:35.729] [info]    [FILE] System.Net.Mail.dll (391472 bytes)
[2026-01-01 23:58:35.730] [info]    [FILE] System.Net.NameResolution.dll (100616 bytes)
[2026-01-01 23:58:35.730] [info]    [FILE] System.Net.NetworkInformation.dll (141576 bytes)
[2026-01-01 23:58:35.731] [info]    [FILE] System.Net.Ping.dll (84280 bytes)
[2026-01-01 23:58:35.732] [info]    [FILE] System.Net.Primitives.dll (211256 bytes)
[2026-01-01 23:58:35.732] [info]    [FILE] System.Net.Quic.dll (260360 bytes)
[2026-01-01 23:58:35.733] [info]    [FILE] System.Net.Requests.dll (321848 bytes)
[2026-01-01 23:58:35.733] [info]    [FILE] System.Net.Security.dll (604432 bytes)
[2026-01-01 23:58:35.734] [info]    [FILE] System.Net.ServicePoint.dll (43320 bytes)
[2026-01-01 23:58:35.734] [info]    [FILE] System.Net.Sockets.dll (481544 bytes)
[2026-01-01 23:58:35.735] [info]    [FILE] System.Net.WebClient.dll (149776 bytes)
[2026-01-01 23:58:35.736] [info]    [FILE] System.Net.WebHeaderCollection.dll (63752 bytes)
[2026-01-01 23:58:35.737] [info]    [FILE] System.Net.WebProxy.dll (43320 bytes)
[2026-01-01 23:58:35.738] [info]    [FILE] System.Net.WebSockets.Client.dll (92424 bytes)
[2026-01-01 23:58:35.739] [info]    [FILE] System.Net.WebSockets.dll (170288 bytes)
[2026-01-01 23:58:35.739] [info]    [FILE] System.Numerics.dll (15664 bytes)
[2026-01-01 23:58:35.740] [info]    [FILE] System.Numerics.Vectors.dll (16144 bytes)
[2026-01-01 23:58:35.741] [info]    [FILE] System.ObjectModel.dll (71984 bytes)
[2026-01-01 23:58:35.741] [info]    [FILE] System.Private.CoreLib.dll (12536072 bytes)
[2026-01-01 23:58:35.742] [info]    [FILE] System.Private.DataContractSerialization.dll (1927432 bytes)
[2026-01-01 23:58:35.742] [info]    [FILE] System.Private.Uri.dll (248080 bytes)
